state,county,infection_rate,percent_vac,percent_republican,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
ARIZONA,COCONINO,0.1313808581226128,0.698,0.3530710558008831,2020-03-31,35.8387457190252,-111.770511343045,138064,7.41535790815756,23.8,17.0,13.11674912,84.53145,81.590473146,70.024113187,8.2,60187.0,24711.0,1508.0,110744.0,21815.0,22.2,10.9,21.8
ARIZONA,GILA,0.1384908734125662,0.539,0.3864621086192332,2020-03-31,33.7997525056345,-110.811716270363,53179,11.1767763237915,30.8,27.1,13.477246208,46.7281,75.171768707,50.453608247,12.1,43585.0,21470.0,1154.0,84705.0,18080.0,21.2,26.4,20.4
ARIZONA,GRAHAM,0.1477199577722275,0.522,0.3952033881611346,2020-03-31,32.9327047295035,-109.887408510498,37529,8.11841078405483,34.8,23.3,10.018351118,58.71991,85.559772296,55.466437506,14.4,50157.0,17710.0,465.0,91804.0,19569.0,22.5,12.3,27.8
ARIZONA,GREENLEE,0.0664350389555696,0.365,0.3644067796610169,2020-03-31,33.2152267537358,-109.240143515106,9224,5.00766232757743,29.3,22.3,8.6147821831,52.88207,89.5625,56.126629423,8.9,65818.0,23778.0,103.0,102237.0,30916.0,13.4,11.5,28.3
ARIZONA,LA PAZ,0.1231760469963994,0.442,0.6726600571332549,2020-03-31,33.7292868666155,-113.981306519609,20304,4.51237582742431,30.2,39.6,19.76077339,29.1248,83.634868421,41.181710214,10.6,37350.0,21447.0,505.0,73810.0,14327.0,21.1,36.1,17.3
ARIZONA,MARICOPA,0.1330439063150023,0.509,0.4766837560609095,2020-03-31,33.3488125404232,-112.491306412054,4088549,444.446743803851,26.9,20.4,12.081175995,70.35005,77.647877747,65.36831258,6.8,65234.0,28791.0,43437.0,121054.0,27010.0,16.5,13.8,25.0
ARIZONA,MOHAVE,0.1230694548522252,0.391,0.7290444441664686,2020-03-31,35.7041030891727,-113.757964679534,203629,15.2977006966314,31.8,32.2,13.362976831,49.2278,78.230185497,47.836163031,11.7,45129.0,22026.0,4801.0,82349.0,19777.0,19.3,26.9,18.7
ARIZONA,NAVAJO,0.1579279506689264,0.605,0.5106715640045665,2020-03-31,35.3996639831384,-110.321412545931,108209,10.8754021429262,34.0,28.9,15.120113587,62.41051,78.216307692,51.599839615,18.5,40650.0,16564.0,1820.0,82215.0,14269.0,29.9,15.7,27.9
ARIZONA,PIMA,0.115786719680238,0.613,0.3970875628498245,2020-03-31,32.0974299148962,-111.789905718709,1003338,109.210301111758,25.0,19.8,10.86259278,84.37878,73.417255075,66.878790117,9.2,53395.0,26204.0,12658.0,101894.0,21344.0,19.1,17.8,21.9
ARIZONA,PINAL,0.1249597548774927,0.458,0.5621092121717383,2020-03-31,32.9043969302388,-111.344681591056,397604,74.0990351837614,32.6,28.5,11.027964753,16.03767,80.753066589,53.33965416,9.4,58848.0,21982.0,4896.0,98542.0,24253.0,16.5,18.2,24.2
ARIZONA,SANTA CRUZ,0.1778356058325089,0.814,0.2371447696707844,2020-03-31,31.5260312010517,-110.846600658826,46547,37.6313295971685,26.9,20.3,13.993283224,49.77062,89.797927461,52.813981043,9.7,40545.0,18860.0,351.0,82421.0,18028.0,21.9,15.9,28.5
ARIZONA,YAVAPAI,0.0917485825120481,0.456,0.6232415902140673,2020-03-31,34.5999012771725,-112.553912659859,218586,26.9078352550054,23.0,23.2,12.924381971,62.23484,82.083333333,59.569615232,8.5,48758.0,26584.0,3621.0,92521.0,22249.0,14.7,28.3,17.4
