,state,county,infection_rate,percent_vac
461,GA,HOUSTON,0.1055788880231593,0.371
462,GA,IRWIN,0.1180968564146134,0.308
463,GA,JACKSON,0.1468544884004549,0.353
464,GA,JASPER,0.1077431605598143,0.29
465,GA,JEFF DAVIS,0.1409857757194839,0.246
466,GA,JEFFERSON,0.1339018356984767,0.44
467,GA,JENKINS,0.109151682803135,0.291
468,GA,JOHNSON,0.1244426008503577,0.275
469,GA,JONES,0.0779189142161127,0.359
470,GA,LAMAR,0.1215599937097027,0.292
471,GA,LANIER,0.0874988007291566,0.227
472,GA,LAURENS,0.1330921633786228,0.356
473,GA,LEE,0.1051947185916244,0.428
474,GA,LIBERTY,0.0790428908602588,0.245
475,GA,LINCOLN,0.1113495770736018,0.4
476,GA,LONG,0.0547574006851066,0.163
477,GA,LOWNDES,0.1292949253019436,0.304
478,GA,LUMPKIN,0.0966676584349895,0.308
479,GA,MCDUFFIE,0.1271114864864864,0.376
480,GA,MCINTOSH,0.0668382250660731,0.339
481,GA,MACON,0.0724492160346026,0.358
482,GA,MADISON,0.1165662650602409,0.375
483,GA,MARION,0.0781193922718028,0.346
484,GA,MERIWETHER,0.1061085652194453,0.347
485,GA,MILLER,0.1622945085694298,0.432
486,GA,MITCHELL,0.1088139779536202,0.366
487,GA,MONROE,0.107368192037131,0.381
488,GA,MONTGOMERY,0.1148059310946358,0.282
489,GA,MORGAN,0.1265822784810126,0.398
490,GA,MURRAY,0.1335295291300877,0.301
491,GA,MUSCOGEE,0.0937635682871139,0.36
492,GA,NEWTON,0.110305698739977,0.358
493,GA,OCONEE,0.1061817279046673,0.522
494,GA,OGLETHORPE,0.1038075889638901,0.371
495,GA,PAULDING,0.1105314021118535,0.317
496,GA,PEACH,0.1073114063747912,0.385
497,GA,PICKENS,0.1181307722991009,0.385
498,GA,PIERCE,0.1488826098124839,0.276
499,GA,PIKE,0.1354814892943782,0.266
500,GA,POLK,0.1415765142092788,0.313
501,GA,PULASKI,0.0922151387267666,0.305
502,GA,PUTNAM,0.1113070211130702,0.37
503,GA,QUITMAN,0.0787298825576337,0.331
504,GA,RABUN,0.1111629806850674,0.418
505,GA,RANDOLPH,0.1087341398642667,0.386
506,GA,RICHMOND,0.1314154791179055,0.35
507,GA,ROCKDALE,0.0957577891216335,0.441
508,GA,SCHLEY,0.0768499143998478,0.272
509,GA,SCREVEN,0.0833452670771874,0.383
510,GA,SEMINOLE,0.1292954264524103,0.372
511,GA,SPALDING,0.1069067358289732,0.341
512,GA,STEPHENS,0.1266730954676952,0.346
513,GA,STEWART,0.1774656396314756,0.274
514,GA,SUMTER,0.0975816285056225,0.429
515,GA,TALBOT,0.0873284907183212,0.414
516,GA,TALIAFERRO,0.0865322055953155,0.401
517,GA,TATTNALL,0.107608953571146,0.275
518,GA,TAYLOR,0.106359102244389,0.379
519,GA,TELFAIR,0.0942622950819672,0.229
520,GA,TERRELL,0.1047942796858516,0.466
521,GA,THOMAS,0.1188274729477402,0.406
522,GA,TIFT,0.1441541186891054,0.341
523,GA,TOOMBS,0.1490495713753261,0.323
524,GA,TOWNS,0.1120711140649663,0.458
525,GA,TREUTLEN,0.142298217649616,0.254
526,GA,TROUP,0.1219072680987386,0.301
527,GA,TURNER,0.1476518472135253,0.42
528,GA,TWIGGS,0.1001231527093596,0.454
529,GA,UNION,0.0990575659907796,0.415
530,GA,UPSON,0.1426671732522796,0.37
531,GA,WALKER,0.119938074282192,0.283
532,GA,WALTON,0.1229055004070068,0.352
533,GA,WARE,0.1569093860189175,0.32
534,GA,WARREN,0.1113437381043014,0.408
535,GA,WASHINGTON,0.1137233729262785,0.363
536,GA,WAYNE,0.1320546663547966,0.295
537,GA,WEBSTER,0.0632911392405063,0.382
538,GA,WHEELER,0.0896244430299172,0.202
539,GA,WHITE,0.1126047145918566,0.314
540,GA,WHITFIELD,0.1701552165768245,0.374
541,GA,WILCOX,0.1042269832078749,0.304
542,GA,WILKES,0.1170093075585557,0.401
543,GA,WILKINSON,0.1154791154791154,0.438
544,GA,WORTH,0.0982367758186398,0.346
545,HI,HAWAII,0.0242167999086907,0.673
546,HI,HONOLULU,0.0345806274196742,0.701
547,HI,KAUAI,0.0089911886351375,0.642
548,HI,MAUI,0.0346977905469575,0.63
549,IA,ADAIR,0.126817673378076,0.443
550,IA,ADAMS,0.0996668517490283,0.477
551,IA,ALLAMAKEE,0.1149996346898516,0.463
552,IA,APPANOOSE,0.1044583936906486,0.413
553,IA,AUDUBON,0.0982532751091703,0.523
