,state,county,infection_rate
458,GA,HARRIS,0.08176296969008968
459,GA,HART,0.09868345735546652
460,GA,HEARD,0.08387150884844419
461,GA,HENRY,0.12109856284719113
462,GA,HOUSTON,0.10557888802315932
463,GA,IRWIN,0.11809685641461343
464,GA,JACKSON,0.14685448840045492
465,GA,JASPER,0.10774316055981434
466,GA,JEFF DAVIS,0.14098577571948395
467,GA,JEFFERSON,0.13390183569847677
468,GA,JENKINS,0.10915168280313509
469,GA,JOHNSON,0.12444260085035777
470,GA,JONES,0.07791891421611276
471,GA,LAMAR,0.12155999370970279
472,GA,LANIER,0.08749880072915667
473,GA,LAURENS,0.1330921633786228
474,GA,LEE,0.10519471859162444
475,GA,LIBERTY,0.07904289086025881
476,GA,LINCOLN,0.11134957707360182
477,GA,LONG,0.0547574006851066
478,GA,LOWNDES,0.12929492530194367
479,GA,LUMPKIN,0.09666765843498959
480,GA,MCDUFFIE,0.12711148648648649
481,GA,MCINTOSH,0.06683822506607316
482,GA,MACON,0.07244921603460261
483,GA,MADISON,0.11656626506024097
484,GA,MARION,0.07811939227180285
485,GA,MERIWETHER,0.10610856521944537
486,GA,MILLER,0.16229450856942987
487,GA,MITCHELL,0.10881397795362027
488,GA,MONROE,0.10736819203713105
489,GA,MONTGOMERY,0.11480593109463585
490,GA,MORGAN,0.12658227848101267
491,GA,MURRAY,0.13352952913008778
492,GA,MUSCOGEE,0.0937635682871139
493,GA,NEWTON,0.11030569873997709
494,GA,OCONEE,0.10618172790466733
495,GA,OGLETHORPE,0.10380758896389017
496,GA,PAULDING,0.11053140211185353
497,GA,PEACH,0.10731140637479125
498,GA,PICKENS,0.11813077229910098
499,GA,PIERCE,0.14888260981248394
500,GA,PIKE,0.13548148929437823
501,GA,POLK,0.14157651420927886
502,GA,PULASKI,0.09221513872676664
503,GA,PUTNAM,0.11130702111307021
504,GA,QUITMAN,0.07872988255763376
505,GA,RABUN,0.1111629806850674
506,GA,RANDOLPH,0.10873413986426675
507,GA,RICHMOND,0.13141547911790558
508,GA,ROCKDALE,0.09575778912163352
509,GA,SCHLEY,0.07684991439984783
510,GA,SCREVEN,0.08334526707718745
511,GA,SEMINOLE,0.12929542645241038
512,GA,SPALDING,0.10690673582897321
513,GA,STEPHENS,0.12667309546769528
514,GA,STEWART,0.1774656396314756
515,GA,SUMTER,0.09758162850562255
516,GA,TALBOT,0.08732849071832123
517,GA,TALIAFERRO,0.08653220559531555
518,GA,TATTNALL,0.10760895357114608
519,GA,TAYLOR,0.10635910224438903
520,GA,TELFAIR,0.0942622950819672
521,GA,TERRELL,0.1047942796858516
522,GA,THOMAS,0.11882747294774021
523,GA,TIFT,0.1441541186891054
524,GA,TOOMBS,0.14904957137532612
525,GA,TOWNS,0.11207111406496635
526,GA,TREUTLEN,0.142298217649616
527,GA,TROUP,0.1219072680987386
528,GA,TURNER,0.14765184721352537
529,GA,TWIGGS,0.1001231527093596
530,GA,UNION,0.09905756599077965
531,GA,UPSON,0.14266717325227962
532,GA,WALKER,0.11993807428219205
533,GA,WALTON,0.12290550040700686
534,GA,WARE,0.15690938601891755
535,GA,WARREN,0.11134373810430148
536,GA,WASHINGTON,0.11372337292627858
537,GA,WAYNE,0.13205466635479668
538,GA,WEBSTER,0.06329113924050633
539,GA,WHEELER,0.08962444302991725
540,GA,WHITE,0.11260471459185661
541,GA,WHITFIELD,0.17015521657682456
542,GA,WILCOX,0.10422698320787492
543,GA,WILKES,0.11700930755855579
544,GA,WILKINSON,0.11547911547911548
545,GA,WORTH,0.0982367758186398
546,HI,HAWAII,0.024216799908690755
547,HI,HONOLULU,0.034580627419674256
548,HI,KALAWAO,0.011627906976744186
549,HI,KAUAI,0.008991188635137565
550,HI,MAUI,0.034697790546957596
551,IA,ADAIR,0.12681767337807606
552,IA,ADAMS,0.09966685174902831
553,IA,ALLAMAKEE,0.11499963468985168
554,IA,APPANOOSE,0.10445839369064865
555,IA,AUDUBON,0.0982532751091703
556,IA,BENTON,0.10376291674790407
557,IA,BLACK HAWK,0.13041424086323042
558,IA,BOONE,0.10574064191507204
559,IA,BREMER,0.11846620381453994
560,IA,BUCHANAN,0.09440377804014168
561,IA,BUENA VISTA,0.22145769622833844
562,IA,BUTLER,0.11905256596717224
563,IA,CALHOUN,0.15111708729830367
564,IA,CARROLL,0.14326803868088273
565,IA,CASS,0.11124961047055157
566,IA,CEDAR,0.10490148708863478
567,IA,CERRO GORDO,0.13413427561837457
568,IA,CHEROKEE,0.1453493546951491
569,IA,CHICKASAW,0.10651135506578396
570,IA,CLARKE,0.11069717935071846
571,IA,CLAY,0.13630119880119881
572,IA,CLAYTON,0.0994358652914696
573,IA,CLINTON,0.12235887053350276
574,IA,CRAWFORD,0.16486325802615934
575,IA,DALLAS,0.12427637422019625
576,IA,DAVIS,0.09977777777777778
577,IA,DECATUR,0.08538754764930115
578,IA,DELAWARE,0.12680030568455705
579,IA,DES MOINES,0.12692791336258885
580,IA,DICKINSON,0.1461351257387878
581,IA,DUBUQUE,0.140477438316326
582,IA,EMMET,0.14954387489139878
583,IA,FAYETTE,0.09750636132315521
584,IA,FLOYD,0.10631632783531518
585,IA,FRANKLIN,0.13048659384309833
586,IA,FREMONT,0.09382183908045977
587,IA,GREENE,0.09068406840684068
588,IA,GRUNDY,0.11551667756703728
589,IA,GUTHRIE,0.11825240901861726
590,IA,HAMILTON,0.12956068503350707
591,IA,HANCOCK,0.14619002822201316
592,IA,HARDIN,0.11557639795797221
593,IA,HARRISON,0.13075663748309488
594,IA,HENRY,0.1526510975243059
595,IA,HOWARD,0.11596418431972046
596,IA,HUMBOLDT,0.13339610797237916
597,IA,IDA,0.1400874635568513
598,IA,IOWA,0.09342560553633218
599,IA,JACKSON,0.1164668964452904
600,IA,JASPER,0.12378647304020439
601,IA,JEFFERSON,0.07553976496310467
602,IA,JOHNSON,0.09861055974593093
603,IA,JONES,0.14631787631159035
604,IA,KEOKUK,0.09847745461643569
605,IA,KOSSUTH,0.1510835077296969
606,IA,LEE,0.12324330748432719
607,IA,LINN,0.09614214004040475
608,IA,LOUISA,0.11934753058450386
609,IA,LUCAS,0.09244186046511628
610,IA,LYON,0.13738834538494257
611,IA,MADISON,0.10411311053984576
612,IA,MAHASKA,0.10749038243946595
613,IA,MARION,0.1143054761976363
614,IA,MARSHALL,0.12616525692803982
615,IA,MILLS,0.11000066185717122
616,IA,MITCHELL,0.12025316455696203
617,IA,MONONA,0.10098665118978525
618,IA,MONROE,0.1327364733359284
619,IA,MONTGOMERY,0.10799636986992034
620,IA,MUSCATINE,0.11707762985186575
621,IA,O'BRIEN,0.14709517923362175
622,IA,OSCEOLA,0.13360187982544477
623,IA,PAGE,0.13000595750314423
624,IA,PALO ALTO,0.1305424262885438
625,IA,PLYMOUTH,0.16169519799817295
626,IA,POCAHONTAS,0.1323462758724883
627,IA,POLK,0.12189872307262307
628,IA,POTTAWATTAMIE,0.12338261485312105
629,IA,POWESHIEK,0.08652183311716385
630,IA,RINGGOLD,0.11749080506742951
631,IA,SAC,0.1377430305524123
632,IA,SCOTT,0.1196810509821155
633,IA,SHELBY,0.11629125196437926
634,IA,SIOUX,0.14973461483287906
635,IA,STORY,0.1134816767404265
636,IA,TAMA,0.12768482259404296
637,IA,TAYLOR,0.10962261068452867
638,IA,UNION,0.10628216648966587
639,IA,VAN BUREN,0.0820556501987507
640,IA,WAPELLO,0.12685521461866225
641,IA,WARREN,0.11638751797303074
642,IA,WASHINGTON,0.11982699749601639
643,IA,WAYNE,0.08865083061636392
644,IA,WEBSTER,0.15496880570409982
645,IA,WINNEBAGO,0.14284334556693065
646,IA,WINNESHIEK,0.10079535791105998
647,IA,WOODBURY,0.15060083214524717
648,IA,WORTH,0.10513480558189947
649,IA,WRIGHT,0.15411558669001751
650,ID,ADA,0.11792677127912506
651,ID,ADAMS,0.08523521192361434
652,ID,BANNOCK,0.10505876457725948
653,ID,BEAR LAKE,0.07118367346938775
654,ID,BENEWAH,0.08840610884061088
655,ID,BINGHAM,0.1064279763303497
656,ID,BLAINE,0.10724990226315104
657,ID,BOISE,0.05401608989911889
658,ID,BONNER,0.0780296901987363
659,ID,BONNEVILLE,0.12960474374695538
660,ID,BOUNDARY,0.07603103307472438
