,state,county,num_hosp,num_not_hosp,num_infected,percent_hosp
463,MT,LAKE,120,1610,1730,0.06936416184971098
464,NC,MADISON,59,1200,1259,0.04686258935663225
465,ID,MINIDOKA,102,1374,1476,0.06910569105691057
466,IN,ADAMS,23,53,76,0.3026315789473684
467,AL,CHILTON,115,1432,1547,0.07433742727860375
468,IA,CLINTON,61,1259,1320,0.04621212121212121
469,MO,ST. CHARLES,0,2,2,0.0
470,OK,ROGERS,649,5909,6558,0.09896309850564196
471,OH,ERIE,718,5479,6197,0.11586251411973536
472,KS,POTTAWATOMIE,110,1349,1459,0.07539410555174778
473,MI,HURON,154,2462,2616,0.058868501529051986
474,MI,ANTRIM,61,958,1019,0.05986261040235525
475,IN,JAY,61,173,234,0.2606837606837607
476,AL,LAWRENCE,74,824,898,0.08240534521158129
477,MN,NICOLLET,98,214,312,0.3141025641025641
478,GA,DOUGHERTY,264,205,469,0.5628997867803838
479,GA,FORSYTH,182,259,441,0.4126984126984127
480,WA,WHITMAN,125,4142,4267,0.02929458636044059
481,MI,GLADWIN,113,1108,1221,0.09254709254709255
482,KY,BULLITT,206,4159,4365,0.047193585337915234
483,NJ,SUSSEX,1475,9245,10720,0.13759328358208955
484,MA,SUFFOLK,3591,17340,20931,0.17156370933065787
485,MN,CARVER,408,414,822,0.49635036496350365
486,UT,DAVIS,618,39794,40412,0.015292487379986142
487,CA,ORANGE,10754,100058,110812,0.09704725120023103
488,WI,ADAMS,100,852,952,0.10504201680672269
489,NC,SURRY,294,5249,5543,0.053039870106440554
490,OH,CLINTON,163,2385,2548,0.06397174254317112
