state,county,total_percent_infected,percent_vaccinated,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
MICHIGAN,KEWEENAW,0.0822306238185255,0.511,0.5676429567642957,0.7222222222222222,2195,4.06397476301071,0.285,0.221,0.070536370316,0.61904761905,0.6676217765,0.066,51641.0,26328.0,89068.0,21435.0,0.17,0.311,0.166
MICHIGAN,LAKE,0.0550071711802919,0.506,0.5929054054054054,0.7222222222222222,11415,20.1140116129707,0.27399999999999997,0.292,0.079662489143,0.79411764706,0.38745746232,0.121,36044.0,17178.0,66724.0,14521.0,0.272,0.263,0.17
MICHIGAN,LAPEER,0.1130731562546371,0.403,0.6647854281477547,0.7222222222222222,88310,137.08652063714,0.335,0.218,0.063310599284,0.9060832444,0.61175673563,0.092,65209.0,25373.0,107207.0,27821.0,0.10300000000000001,0.159,0.221
MICHIGAN,LEELANAU,0.0589586875603143,0.74,0.4905468591177068,0.7222222222222222,21764,62.686907686845,0.27699999999999997,0.154,0.085286157502,0.9124087591200001,0.73848238482,0.066,67349.0,35954.0,117214.0,32641.0,0.087,0.27899999999999997,0.17
MICHIGAN,LENAWEE,0.1122385755350377,0.416,0.5753281525501208,0.7222222222222222,98673,131.641334703218,0.39899999999999997,0.28300000000000003,0.059301958307,0.89014821273,0.60211529216,0.07400000000000001,55762.0,24512.0,97859.0,25227.0,0.14400000000000002,0.16699999999999998,0.21899999999999997
MICHIGAN,LIVINGSTON,0.0899554675903018,0.497,0.6204069295146695,0.7222222222222222,185841,328.842791903836,0.276,0.215,0.040599987395,0.9132791327900001,0.7506385234399999,0.055,84048.0,35156.0,144477.0,39176.0,0.059000000000000004,0.147,0.231
MICHIGAN,LUCE,0.2157649703002087,0.4,0.680884063590539,0.7222222222222222,6451,7.17511629781066,0.307,0.19699999999999998,0.07559175362699999,0.91111111111,0.55240443896,0.134,43196.0,18444.0,80236.0,23367.0,0.21,0.204,0.168
MICHIGAN,MACKINAC,0.0668580424113343,0.666,0.6140724946695096,0.7222222222222222,10998,10.7618907987443,0.349,0.304,0.11474558671,0.9052631578899999,0.5712856428199999,0.11199999999999999,46645.0,25604.0,88154.0,20857.0,0.155,0.256,0.166
MICHIGAN,MACOMB,0.1174042188994613,0.48,0.5357943488380967,0.7222222222222222,859703,1794.35693490217,0.321,0.253,0.06394151893,0.88565356004,0.67931160413,0.075,62191.0,28588.0,114875.0,27056.0,0.12,0.156,0.21899999999999997
MICHIGAN,MANISTEE,0.0819692157341803,0.513,0.5488530835780617,0.7222222222222222,24465,45.1245734752903,0.3,0.22,0.075064357594,0.87777777778,0.58546209761,0.107,47401.0,23290.0,86280.0,21923.0,0.161,0.233,0.182
MICHIGAN,MARQUETTE,0.0896115384038741,0.579,0.444141193595342,0.7222222222222222,67418,37.278658879838,0.35700000000000004,0.203,0.05695941568,0.8785046729,0.7098455985600001,0.07200000000000001,54093.0,24275.0,95337.0,21838.0,0.166,0.166,0.18100000000000002
MICHIGAN,MASON,0.0759676091133681,0.508,0.5791624106230848,0.7222222222222222,28755,58.0821669442756,0.28300000000000003,0.245,0.063519235967,0.9052631578899999,0.6545788770100001,0.098,51083.0,24643.0,91294.0,21929.0,0.162,0.21100000000000002,0.20800000000000002
MICHIGAN,MECOSTA,0.075046602075806,0.338,0.6002446411929171,0.7222222222222222,43259,77.9342304957964,0.34,0.265,0.06464208243,0.8578811369500001,0.5922150139,0.107,45804.0,20690.0,87172.0,18699.0,0.226,0.16699999999999998,0.19
MICHIGAN,MENOMINEE,0.0959174714661984,0.616,0.6223997028231798,0.7222222222222222,23568,22.5740299374151,0.309,0.26,0.069572698595,0.85833333333,0.59752925878,0.071,46486.0,24789.0,83560.0,20368.0,0.151,0.21600000000000003,0.19399999999999998
MICHIGAN,MIDLAND,0.0929097118668526,0.493,0.5610031524961182,0.7222222222222222,83559,161.855459090167,0.38,0.21,0.050056027365000005,0.93811074919,0.72604737716,0.076,58057.0,31135.0,115605.0,25762.0,0.12300000000000001,0.163,0.22
MICHIGAN,MISSAUKEE,0.1012700092604842,0.402,0.7360940276069428,0.7222222222222222,15032,26.6181461105543,0.373,0.228,0.075581887431,0.91176470588,0.51344511231,0.08800000000000001,48413.0,21124.0,81221.0,21378.0,0.15,0.192,0.23199999999999998
MICHIGAN,MONROE,0.1047707641196013,0.382,0.5828909428979493,0.7222222222222222,149945,272.912979347591,0.375,0.282,0.049930550479000003,0.9155807365399999,0.63575342073,0.07,62522.0,27809.0,111425.0,27308.0,0.10800000000000001,0.157,0.226
MICHIGAN,MONTCALM,0.1293983220636113,0.339,0.6353865233567589,0.7222222222222222,62922,89.2009977529274,0.359,0.24600000000000002,0.06996734056000001,0.8723404255299999,0.53969085669,0.086,50396.0,20504.0,86317.0,21433.0,0.174,0.16,0.23
MICHIGAN,MONTMORENCY,0.0686106346483705,0.475,0.6983429826312637,0.7222222222222222,9317,17.0434029386933,0.35700000000000004,0.213,0.07399103139,0.9259259259300001,0.47252747253000005,0.138,40650.0,21621.0,71479.0,19839.0,0.163,0.294,0.151
MICHIGAN,MUSKEGON,0.1083507138494866,0.446,0.4626447085339616,0.7222222222222222,172148,344.279985443174,0.355,0.24,0.055072380638,0.89942857143,0.59066113391,0.10400000000000001,49960.0,21614.0,91501.0,21227.0,0.196,0.151,0.23800000000000002
MICHIGAN,NEWAYGO,0.101572070232748,0.354,0.6701855123674911,0.7222222222222222,47957,58.7950842887224,0.34700000000000003,0.255,0.072443880589,0.8480565371000001,0.53445996979,0.08900000000000001,48860.0,21905.0,86280.0,19897.0,0.182,0.177,0.23199999999999998
MICHIGAN,OAKLAND,0.0968619193628417,0.566,0.4351443093284222,0.7222222222222222,1235215,1423.95089875216,0.247,0.19,0.04921746964299999,0.9048546490699999,0.8143446784299999,0.063,80319.0,38992.0,150049.0,32001.0,0.096,0.151,0.221
MICHIGAN,OCEANA,0.10613216458231,0.442,0.6058675607711651,0.7222222222222222,26152,51.0643724734212,0.307,0.257,0.091861869114,0.83408071749,0.47855029586000003,0.083,50374.0,20760.0,85713.0,21595.0,0.19899999999999998,0.191,0.235
MICHIGAN,OGEMAW,0.0856789065104538,0.382,0.6572638875517474,0.7222222222222222,21103,37.4503826133413,0.387,0.31,0.073358823148,0.90714285714,0.5836032893099999,0.10800000000000001,41201.0,21515.0,74796.0,20049.0,0.2,0.242,0.18899999999999997
