state,county,total_percent_infected,percent_vaccinated,total_population,population_density_per_sqmi,percent_republican,date_stay_at_home_effective,percent_adults_with_obesity,percent_physically_inactive,percent_age_65_and_older,percent_age_17_and_younger
KENTUCKY,CLARK,0.0934837161845407,0.512,35706,141.430093997373,0.6609071274298056,0.6111111111111112,0.361,0.272,0.16399999999999998,0.226
KENTUCKY,CLAY,0.1619014119893472,0.355,21160,45.0935327441663,0.8661149697059258,0.6111111111111112,0.363,0.353,0.135,0.212
KENTUCKY,CLINTON,0.1463104325699745,0.303,10172,51.5701922913288,0.8536530703720305,0.6111111111111112,0.35200000000000004,0.36,0.17800000000000002,0.24
KENTUCKY,CRITTENDEN,0.0839200545082898,0.323,9211,25.5894225615671,0.8149616051523408,0.6111111111111112,0.313,0.298,0.19399999999999998,0.22899999999999998
KENTUCKY,CUMBERLAND,0.1096159661324463,0.341,6780,22.2162840603585,0.8160469667318982,0.6111111111111112,0.373,0.32299999999999995,0.201,0.217
KENTUCKY,DAVIESS,0.1191299465082601,0.479,98724,215.382361271209,0.6310607549064553,0.6111111111111112,0.313,0.27399999999999997,0.161,0.244
KENTUCKY,EDMONSON,0.0808230452674897,0.329,12086,39.9029615306794,0.7885202135774219,0.6111111111111112,0.36200000000000004,0.235,0.191,0.19699999999999998
KENTUCKY,ELLIOTT,0.1355593986962884,0.286,7661,32.6951512031993,0.7005253940455342,0.6111111111111112,0.39899999999999997,0.363,0.184,0.18600000000000003
KENTUCKY,ESTILL,0.0888274493123493,0.424,14406,56.9232151893105,0.763931469792606,0.6111111111111112,0.4,0.371,0.171,0.22
KENTUCKY,FAYETTE,0.1197331286824776,0.673,311529,1098.29868867585,0.4173715291787404,0.6111111111111112,0.267,0.203,0.11699999999999999,0.212
KENTUCKY,FLEMING,0.0932034839860092,0.409,14543,41.7251825708831,0.7543130990415335,0.6111111111111112,0.34,0.281,0.162,0.245
KENTUCKY,FLOYD,0.1136306162016353,0.462,38144,96.9730412915615,0.7250906892382104,0.6111111111111112,0.413,0.369,0.158,0.22
KENTUCKY,FRANKLIN,0.0896432703810476,0.684,49982,240.586001209812,0.4952440812905929,0.6111111111111112,0.371,0.255,0.161,0.21
KENTUCKY,FULTON,0.0938180599765454,0.484,6323,30.7045003964812,0.6502938706968934,0.6111111111111112,0.396,0.271,0.187,0.209
KENTUCKY,GALLATIN,0.0894125606043522,0.353,8543,86.8720922803265,0.7318753744757339,0.6111111111111112,0.304,0.318,0.121,0.258
KENTUCKY,GARRARD,0.0933997509339975,0.422,17051,74.1097403269241,0.7744982290436836,0.6111111111111112,0.389,0.27,0.165,0.222
KENTUCKY,GRANT,0.111133272168814,0.439,24705,95.7688212161739,0.7603305785123967,0.6111111111111112,0.336,0.366,0.127,0.27699999999999997
KENTUCKY,GRAVES,0.1272205227284924,0.377,37379,67.7462853448997,0.7630374563410816,0.6111111111111112,0.35,0.37799999999999995,0.172,0.243
KENTUCKY,GRAYSON,0.093313656487683,0.426,26092,52.3271817859977,0.7771369137670197,0.6111111111111112,0.374,0.35700000000000004,0.161,0.24
KENTUCKY,GREEN,0.1236632848916918,0.357,11123,38.8863165945292,0.8198012375773486,0.6111111111111112,0.34600000000000003,0.301,0.193,0.215
KENTUCKY,GREENUP,0.1154196820331642,0.412,36255,105.254293581752,0.7093444737973829,0.6111111111111112,0.40399999999999997,0.32799999999999996,0.19,0.21899999999999997
KENTUCKY,HANCOCK,0.1108690667278147,0.515,8716,46.4473152968511,0.649126891734575,0.6111111111111112,0.308,0.298,0.162,0.248
